Title: Mapping the Diffuse Ultraviolet Sky with GALEX
Authors: Murthy J., Henry R.C., Sujatha N.V.
Table: Diffuse Flux Observed by GALEX
================================================================================
Byte-by-byte Description of file: apj370277t1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label  Explanations
--------------------------------------------------------------------------------
   1-  6 F6.2   deg   GLON   Galactic longitude
   8- 13 F6.2   deg   GLAT   Galactic latitude 
  15- 21 F7.2   ---   TFUV   Total FUV band flux (1)
  23- 29 F7.2   ---   TNUV   Total NUV band flux (1)
  31- 37 F7.2   ---   FUV    FUV band flux (1)
  39- 45 F7.2   ---   NUV    NUV band flux (1)
--------------------------------------------------------------------------------
Note (1): In units of ph/cm^2^/s/sr/Angstroms.
--------------------------------------------------------------------------------
221.87 -54.27  469.11  983.2   336.73  347.19 
136.64  49.58  422.11  989.33  271.09  345.31 
136.64  49.58  476.92 1047.73  304.96  375.39 
 96.04  50.13  441.72  907.05  277.69  364.   
120.71  57.53  458.26  991.8   335.17  422.81 
148.74  48.06   -1.    942.11   -1.    223.75 
223.13 -54.14  514.81 1072.03  425.55  478.68 
 87.16  68.98  507.3  1000.62  276.05  318.99 
148.74  48.06  397.62 1003.42  254.81  281.81 
 86.71  85.5   379.13 1063.21  303.12  367.38 
101.46  53.6   452.58  981.8   283.97  404.53 
342.54 -65.42  416.53 1009.65  162.83  203.15 
 83.71  45.49  636.63 1006.64  336.62  322.12 
 83.71  45.49  683.97 1015.25  443.67  389.05 
 99.72  53.33  451.18  923.83  287.07  365.9  
321.03 -71.32  367.85  980.4   228.32  326.63 
166.6   55.04  472.71 1051.81  424.16  333.18 
344.96 -62.98  318.44  968.36  279.56  302.18 
 64.61  85.24  321.55  962.33  252.69  262.46 
249.97 -50.5   424.09  893.18  298.82  346.5  
 96.72  73.41  381.33  935.88  260.73  254.09 
321.71 -65.31  630.53 1097.2   508.46  396.69 
165.97  51.18  339.06 1040.2   300.89  354.46 
295.66 -73.29  439.65 1013.1   289.39  274.64 
  0.22 -64.02  392.04 1152.69  372.71  413.33 
158.56  47.77  333.14  988.14  233.42  333.39 
309.97 -59.99  421.71  951.79  326.52  368.1  
 65.04  43.22  552.93  974.16  345.37  373.7  
225.33 -49.7   579.29 1078.05  330.67  360.58 
 66.89  69.9   440.2  1034.61  364.17  423.72 
 86.54  77.13  407.93 1048.8   318.91  373.43 
 96.07  81.82  425.01 1020.19  354.27  396.24 
145.78  54.3   454.66 1109.67  333.4   440.09 
144.26  54.82  361.32  946.2   278.71  337.02 
107.19  59.19  414.46  923.83  276.99  361.39 
145.78  54.3    -1.   1039.12   -1.    385.04 
253.57 -42.12  548.78  974.16  381.93  415.48 
308.35 -73.67  417.99 1055.25  341.6   442.22 
108.29  65.25  525.48 1038.91  413.52  470.44 
 89.63  76.5   412.02 1058.91  320.74  390.35 
229.95 -49.65  796.7  1269.27  539.74  553.27 
107.11  57.52  560.5  1030.09  208.79  251.66 
 72.45  65.94  390.05  932.44  262.99  322.4  
317.48 -74.72  460.39 1150.11  379.41  454.   
162.43  48.61  355.4  1065.15  290.22  413.87 
 63.78  43.81  572.09 1078.27  364.47  420.81 
 61.12  44.52  573.31 1110.96  399.35  480.19 
224.5  -54.7   396.58  943.84  306.91  354.58 
302.51 -73.11  393.04 1046.44  325.02  437.34 
 58.93  65.18  540.73 1012.45  359.67  370.03 
248.61 -49.95  496.81  943.41  249.16  296.21 
176.42  52.27  378.34 1152.05  338.67  373.38 
249.95 -53.5   416.59  929.64  299.11  384.31 
 64.99  44.37  593.8  1128.82  393.3   482.87 
145.72  60.34   -1.    984.06   -1.    339.61 
335.26 -68.1   441.54 1081.07  186.86  288.33 
330.69 -68.29  479.73  993.74  370.55  360.87 
174.19  63.99  367.91 1039.77  227.28  328.16 
156.71  51.35  417.2  1050.52  312.81  326.11 
 89.57  47.89  736.06 1115.05  412.56  395.82 
 86.9   43.59  678.84 1116.56  369.14  425.66 
 89.57  47.89  576.3  1048.8   358.03  448.19 
 82.65  66.78  483.18  958.25  257.27  295.53 
347.48 -58.77  403.9  1088.38  372.38  413.82 
152.55  50.74  345.52  960.83  152.25  148.84 
288.7  -73.25  420.8   995.67  269.81  262.66 
222.63 -55.03  425.68  984.06  339.43  390.47 
358.71  88.26  757.05 1238.08  712.68  517.7  
 52.04  87.56  407.01 1091.18  379.79  395.29 
309.79 -71.74  395.18 1012.88  324.76  398.89 
258.7  -57.78  447.58  942.76  311.5   376.16 
347.27 -63.91  460.63 1188.4   116.89  264.51 
288.02 -68.75  416.53  976.31  291.32  323.95 
245.95 -48.8   502.79  949.64  264.87  314.55 
233.59 -47.62  647.24 1216.9   394.15  521.09 
315.22 -72.28  555.74 1123.87  271.73  318.97 
308.61 -72.13  442.52 1019.76   22.62   39.37 
224.01 -55.59  386.58  929.42  299.96  333.05 
144.34  53.81  337.35  916.52  253.59  307.18 
 85.13  41.26  681.41 1176.78  380.65  500.8  
 88.78  67.28  485.01 1062.57  311.71  360.39 
333.68 -57.46  360.62  959.11  303.46  328.32 
164.97  54.82  326.18  946.2   261.43  299.99 
108.02  56.75  516.21 1015.46  372.52  451.75 
 56.58  86.02  379.47 1127.1   348.91  436.9  
164.97  54.82  379.44 1107.95  295.35  366.27 
346.13 -56.82  386.58 1057.41  351.64  379.74 
 77.67  85.    352.69 1005.57  278.31  314.76 
147.28  51.72  401.52  947.92  286.52  281.84 
 78.76  66.67  447.73  907.48  228.98  253.84 
162.76  49.66  340.82  989.44  278.4   335.42 
142.39  47.81  519.5  1119.14  360.71  428.73 
